licenseId,reciprocality
Apache-1.0,non
Apache-1.1,non
Apache-2.0,non
BSD-1-Clause,non
BSD-2-Clause,non
BSD-2-Clause-Paten,non
BSD-3-Clause,non
BSD-3-Clause-Clear ,non
BSD-3-Clause-LBNL ,non
BSD-4-Clause ,non
MIT,non
MIT-0,non
CC-BY-1.0,non
CC-BY-2.0,non
CC-BY-2.5,non
CC-BY-2.5-AU ,non
CC-BY-3.0-AT,non
CC-BY-3.0-DE,non
CC-BY-3.0-NL,non
CC-BY-3.0-US ,non
CC-BY-3.0,non
CC-BY-4.0,non
CC-BY-SA-1.0,strong
CC-BY-SA-2.0,strong
CC-BY-SA-2.0-UK,strong
CC-BY-SA-2.1-JP,strong
CC-BY-SA-2.5,strong
CC-BY-SA-3.0,strong
CC-BY-SA-3.0-AT,strong
CC-BY-SA-3.0-DE,strong
CC-BY-SA-4.0,strong
CC0-1.0,non
CERN-OHL-1.1,strong
CERN-OHL-1.2,strong
CERN-OHL-P-2.0,non
CERN-OHL-S-2.0,strong
CERN-OHL-W-2.0,weak
GPL-1.0-only,strong
GPL-1.0-or-later,strong
GPL-2.0-only,strong
GPL-2.0-or-later,strong
GPL-3.0-only,strong
GPL-3.0-or-later,strong
SHL-0.5,non
SHL-0.51,non
SHL-2.0,non
SHL-2.1,non
TAPR-OHL-1.0,strong
